Timestamp,Temperature (°C),Humidity (%)
2025-10-23 22:03:47,24.93,76.09
2025-10-23 22:03:49,25.22,76.77
2025-10-23 22:03:51,25.10,77.71
2025-10-23 22:03:53,24.67,76.43
2025-10-23 22:03:55,26.29,76.12
2025-10-23 22:03:57,24.68,78.85
2025-10-23 22:04:00,24.77,79.06
2025-10-23 22:04:02,24.57,79.55
2025-10-23 22:04:04,24.65,79.84
2025-10-23 22:04:06,25.33,78.71
